site_name,carcass_id,no_scavenge,partial_scavenge,mass_kg,kg_consumed,proportion_consumed,deployment_date_time,deployment_type_AM_PM,first_scavenger_date_time,full_scavenge_date_time,hours_to_first_scavenging_event,hours_to_full_scavenge,percent_developed_1km
Strawberry,143,TRUE,FALSE,0.1528,0,0,2023-04-25T08:30:04Z,day,NA,NA,NA,NA,0.05666666666666665
Younger,144,FALSE,FALSE,0.13057,0.13057,1,2023-04-25T07:06:12Z,day,2023-04-25T08:27:04Z,2023-04-25T08:27:04Z,1.3477777777777777,1.3477777777777777,0.34704830053667257
Seacliff,145,TRUE,FALSE,0.15085,0,0,2023-04-25T07:36:26Z,day,NA,NA,NA,NA,0.965390665967488
New Brighton,146,TRUE,FALSE,0.13182,0,0,2023-04-25T08:20:28Z,day,NA,NA,NA,NA,0.7828096118299446
Younger,147,FALSE,FALSE,0.14388,0.14388,1,2023-04-25T17:47:36Z,night,2023-04-25T23:40:38Z,2023-04-25T23:48:04Z,5.8838888888888885,6.007777777777778,0.34704830053667257
Three Mile,148,FALSE,FALSE,0.12836,0.12836,1,2023-04-25T17:38:14Z,night,2023-04-26T06:44:00Z,2023-04-26T06:45:39Z,13.096111111111112,13.123611111111112,0.0704697986577181
Strawberry,150,TRUE,FALSE,0.12603,0,0,2023-04-25T18:45:26Z,night,NA,NA,NA,NA,0.05666666666666665
Seacliff,151,TRUE,FALSE,0.11292,0,0,2023-04-25T18:41:36Z,night,NA,NA,NA,NA,0.965390665967488
New Brighton,152,FALSE,FALSE,0.14229,0.14229,1,2023-04-25T19:03:58Z,night,2023-04-25T23:02:14Z,2023-04-25T23:02:14Z,3.971111111111111,3.971111111111111,0.7828096118299446
Three Mile,153,FALSE,FALSE,0.16849,0.16849,1,2023-04-26T07:53:47Z,day,2023-04-26T11:58:50Z,2023-04-26T11:58:50Z,4.0841666666666665,4.0841666666666665,0.0704697986577181
Sand Plant,154,TRUE,FALSE,0.1443,0,0,2023-04-26T09:00:40Z,day,NA,NA,NA,NA,0.0955955955955956
Strawberry,155,TRUE,FALSE,0.2043,0,0,2023-04-26T08:30:14Z,day,NA,NA,NA,NA,0.05666666666666665
Seacliff,156,FALSE,FALSE,0.1631,0.1631,1,2023-04-26T09:49:32Z,day,2023-04-26T18:14:22Z,2023-04-26T18:22:18Z,8.41388888888889,8.546111111111111,0.965390665967488
Younger,157,FALSE,FALSE,0.11424,0.11424,1,2023-04-26T08:07:20Z,day,2023-04-26T09:13:22Z,2023-04-26T09:13:22Z,1.1005555555555555,1.1005555555555555,0.34704830053667257
New Brighton,158,TRUE,FALSE,0.13224,0,0,2023-04-26T09:02:32Z,day,NA,NA,NA,NA,0.7828096118299446
Bonny Doon,160,FALSE,TRUE,0.16495,0.02589,0.1569566535,2023-05-01T18:09:26Z,night,2023-05-01T21:15:52Z,NA,3.107222222222222,NA,0.083596214511041
Panther,161,FALSE,TRUE,0.15346,0.02466,0.1606933403,2023-05-01T18:30:30Z,night,2023-05-01T20:34:52Z,NA,2.0727777777777776,NA,0.05571428571428572
